control,N,size,time
control,1000,1,0.931376
control,1000,1,0.873067
control,1000,1,0.873726
control,1000,1,0.868288
control,1000,1,0.873268
control,2000,1,1.76962
control,2000,1,1.68627
control,2000,1,1.73029
control,2000,1,1.69451
control,2000,1,1.7128
control,3000,1,2.56191
control,3000,1,2.51195
control,3000,1,2.52211
control,3000,1,2.51909
control,3000,1,2.5214
control,4000,1,3.40703
control,4000,1,3.31663
control,4000,1,3.36468
control,4000,1,3.36973
control,4000,1,3.44121
control,5000,1,4.39535
control,5000,1,4.36751
control,5000,1,4.41369
control,5000,1,4.49065
control,5000,1,4.22094
control,1000,2,0.634965
control,1000,2,0.631211
control,1000,2,0.631697
control,1000,2,0.62402
control,1000,2,0.630537
control,2000,2,1.12461
control,2000,2,1.18449
control,2000,2,1.21543
control,2000,2,1.0906
control,2000,2,1.07295
control,3000,2,1.55327
control,3000,2,1.53636
control,3000,2,1.52648
control,3000,2,1.54143
control,3000,2,1.5338
control,4000,2,2.10122
control,4000,2,2.13587
control,4000,2,2.01172
control,4000,2,2.00541
control,4000,2,1.9561
control,5000,2,2.48029
control,5000,2,2.40672
control,5000,2,2.52036
control,5000,2,2.52425
control,5000,2,2.44953
control,1000,3,0.53501
control,1000,3,0.5319
control,1000,3,0.543037
control,1000,3,0.551434
control,1000,3,0.548258
control,2000,3,0.87918
control,2000,3,0.898265
control,2000,3,0.886336
control,2000,3,0.886619
control,2000,3,0.872978
control,3000,3,1.18422
control,3000,3,1.20584
control,3000,3,1.19906
control,3000,3,1.19962
control,3000,3,1.20185
control,4000,3,1.5328
control,4000,3,1.53639
control,4000,3,1.56147
control,4000,3,1.52874
control,4000,3,1.55635
control,5000,3,1.891
control,5000,3,1.95454
control,5000,3,2.02894
control,5000,3,1.87147
control,5000,3,1.87457
control,1000,4,0.470592
control,1000,4,0.492381
control,1000,4,0.4986
control,1000,4,0.499848
control,1000,4,0.519459
control,2000,4,0.78701
control,2000,4,0.814366
control,2000,4,0.790547
control,2000,4,0.774459
control,2000,4,0.75402
control,3000,4,1.07074
control,3000,4,1.04865
control,3000,4,1.06431
control,3000,4,1.06297
control,3000,4,1.08356
control,4000,4,1.31766
control,4000,4,1.33906
control,4000,4,1.30924
control,4000,4,1.31044
control,4000,4,1.33277
control,5000,4,1.59632
control,5000,4,1.60291
control,5000,4,1.59448
control,5000,4,1.59861
control,5000,4,1.63193
control,1000,5,0.452165
control,1000,5,0.446663
control,1000,5,0.462705
control,1000,5,0.457193
control,1000,5,0.490661
control,2000,5,0.713173
control,2000,5,0.720455
control,2000,5,0.705013
control,2000,5,0.703694
control,2000,5,0.908037
control,3000,5,1.10554
control,3000,5,0.960299
control,3000,5,0.970444
control,3000,5,0.998312
control,3000,5,0.945419
control,4000,5,1.21132
control,4000,5,1.18887
control,4000,5,1.17725
control,4000,5,1.27902
control,4000,5,1.23424
control,5000,5,1.46803
control,5000,5,1.41104
control,5000,5,1.37318
control,5000,5,1.39733
control,5000,5,1.38438
control,1000,6,0.540823
control,1000,6,0.490249
control,1000,6,0.557726
control,1000,6,0.468986
control,1000,6,0.49895
control,2000,6,0.830469
control,2000,6,0.813013
control,2000,6,0.845014
control,2000,6,0.77855
control,2000,6,0.813305
control,3000,6,1.15675
control,3000,6,1.10622
control,3000,6,1.01135
control,3000,6,1.0999
control,3000,6,1.1324
control,4000,6,1.28131
control,4000,6,1.28029
control,4000,6,1.36695
control,4000,6,1.39055
control,4000,6,1.37721
control,5000,6,1.53037
control,5000,6,1.5956
control,5000,6,1.64927
control,5000,6,2.29193
control,5000,6,2.39125
control,1000,7,0.673101
control,1000,7,0.685694
control,1000,7,0.683953
control,1000,7,0.696762
control,1000,7,0.690986
control,2000,7,1.00352
control,2000,7,1.04097
control,2000,7,1.02337
control,2000,7,0.993479
control,2000,7,0.989433
control,3000,7,1.41159
control,3000,7,1.42244
control,3000,7,1.48567
control,3000,7,1.51803
control,3000,7,1.46458
control,4000,7,1.81258
control,4000,7,1.84012
control,4000,7,1.8025
control,4000,7,1.80651
control,4000,7,1.75543
control,5000,7,2.09282
control,5000,7,2.10431
control,5000,7,2.17805
control,5000,7,2.06719
control,5000,7,2.06241
control,1000,8,0.71003
control,1000,8,0.727531
control,1000,8,0.716749
control,1000,8,0.673731
control,1000,8,0.6885
control,2000,8,0.997399
control,2000,8,0.978275
control,2000,8,1.0102
control,2000,8,0.951948
control,2000,8,0.977418
control,3000,8,1.47264
control,3000,8,1.59261
control,3000,8,1.51842
control,3000,8,1.57768
control,3000,8,1.56081
control,4000,8,1.86649
control,4000,8,1.81613
control,4000,8,1.94892
control,4000,8,1.84956
control,4000,8,1.86615
control,5000,8,2.3729
control,5000,8,2.20848
control,5000,8,2.18215
control,5000,8,2.16807
control,5000,8,2.25438
